1;IOF;I;10;14
2;Condomínio;F;10;5
3;Manutenção de Conta;F;10;14
4;Salário;E;10;8
5;Salário Erik;E;10;8
6;Salário Carol;E;10;8
7;Roupas;I;10;12
8;Imposto de Renda;I;10;14
9;TV Cabo/Internet;F;10;5
20;Salário2;V;10;8
21;Alimentação;V;10;1
22;Setup Inicial;V;10;5
24;Cemig;V;10;5
26;Taxi;V;10;16
27;33;F;10;5
28;Financiamento;F;10;5
44;Seguro;I;10;16
45;Estadia;F;10;17
46;Supermercado;V;10;5
47;Fechamento de Balanío;I;10;10
48;Remédios;V;10;13
55;Supérfluos;I;10;5
56;Presentes;I;10;11
57;Seguro de Vida;F;10;2
58;Reembolso de Despesa;E;10;8
19;Trabalho;V;10;7
66;Combustível;V;10;16
67;Manutenção;I;10;16
59;Esportes - Tennis;I;10;9
68;IPTU;F;10;5
69;Diarista;F;10;5
70;Poupança;T;10;2
71;IPVA;I;10;16
73;Multa;I;10;14
74;Eletrônicos;I;10;12
75;Saídas - Bar/Balada/Restaurantes;V;10;9
76;Esporte - Bike;I;10;9
77;Passagem;I;10;17
25;Remuneração de Investimento;E;10;8
78;Retirada no Caixa;I;10;10
79;Inglís;F;10;6
42;Fundo de Imprevistos;T;10;2
72;Fundo de Realizaíío;T;10;2
23;Pagamento;T;10;4
